codice_istat;cap
010025;16163
010025;16164
010025;16165
010025;16166
010025;16167
009032;17010
009046;17010
009004;17011
009003;17012
009040;17013
009015;17014
009022;17015
009026;17017
009038;17017
009054;17017
009065;17019
009008;17020
009016;17020
009035;17020
009053;17020
009059;17020
009060;17020
009062;17020
009001;17021
009013;17022
009024;17023
009029;17024
009044;17024
009034;17025
009042;17026
009031;17027
009049;17027
009010;17028
009057;17028
009067;17028
009020;17030
009028;17030
009041;17030
009002;17031
009007;17032
009066;17032
009019;17033
009030;17033
009021;17034
009025;17035
009043;17037
009045;17037
009068;17038
009069;17039
009039;17040
009005;17041
009051;17042
009018;17043
009047;17043
009050;17043
009058;17044
009014;17045
009036;17045
009055;17046
009052;17047
009064;17047
009063;17048
009006;17051
009012;17052
009033;17053
009011;17054
009061;17055
009023;17056
009009;17057
009017;17057
009027;17058
009048;17058
009056;17100
008006;18010
008017;18010
008035;18010
008041;18010
008056;18010
008060;18010
008061;18010
008067;18010
008014;18011
008008;18012
008057;18012
008062;18012
008025;18013
008026;18013
008027;18013
008028;18013
008039;18014
008044;18015
008050;18015
008052;18016
008021;18017
008022;18017
008024;18017
008054;18017
008059;18018
008063;18019
008003;18020
008005;18020
008009;18020
008012;18020
008030;18020
008033;18020
008047;18020
008048;18020
008064;18020
008010;18021
008018;18022
008023;18023
008046;18024
004031;18025
008034;18025
008037;18025
008004;18026
008042;18026
008049;18026
008066;18026
008019;18027
008020;18027
008045;18027
008068;18028
008001;18030
008015;18030
008038;18030
008051;18030
008007;18031
008040;18032
008011;18033
008016;18034
008002;18035
008029;18035
008032;18035
008053;18036
008058;18036
008043;18037
008055;18038
008065;18039
008031;18100
011018;19010
011005;19011
011009;19012
011012;19013
011014;19014
011017;19015
011019;19016
011024;19017
011030;19018
011003;19020
011004;19020
